,Company,Job Title,Location,Rating,Salary,Description
77, Columbia River Inter-Tribal Fish Commission,Quantitative Fishery Scientist,"Portland, OR",,," Quantitative Fishery Scientist  Quantitative Fishery Scientist   Closing Date: January 18, 2019 The Columbia River Inter-Tribal Fish Commission assists its four governing tribes (Yakama, Umatilla, Warm Springs, and Nez Perce) with management of their treaty fishing rights. A key to ensuring our member tribes have a sustainable fishery is the ability to collect and assess information on the status of anadromous and resident fish populations and their habitats within the diverse watersheds of the Columbia Basin. The position offered is a Quantitative Fishery Scientist in the Fishery Science Department’s Watershed Ecology group.   The Watershed Ecology group evaluates the combined impacts to fish populations from land management (e.g., cattle grazing, forestry, agriculture) and restoration efforts (e.g., riparian protection/planting, instream habitat structures) in context of natural variability and climate change. The group develops landscape-scale analyses linking watershed conditions to riverine habitat conditions; relates habitat conditions to life stage-specific abundance, capacity, or survival of salmonids; and uses these analyses as inputs to life cycle models. The group additionally applies remotely-sensed technology to fish habitat surveys, evaluates the role of food webs on juvenile salmon productivity, and assesses river ecosystems using various other physical and biotic approaches (e.g., geomorphology, hydrology, riparian vegetation, and aquatic invertebrates).   In this capacity, the Quantitative Fishery Scientist will develop and apply quantitative approaches to evaluating threats and factors limiting salmonid populations in a range of habitats, from small headwater tributaries to the mainstem Columbia River. The incumbent must maintain a proven publication record and possess exceptional problem solving and communication skills. The incumbent will occasionally be asked to provide technical support for administrative and legal challenges to existing or proposed actions impacting aquatic ecosystems and/or other assignments delegated by the Watershed Ecology group leader or Fishery Science Department Manager. Position Details  Classification : Regular, Full time (Exempt); 4 years of guaranteed support with possibility of extension based on available funds Salary/Wage Range : $72,148-$81,770 (Equivalent to CRITFC Grade 12, steps 1-5) Location : Portland, OR Essential Job Functions  Analyze both quantitative and qualitative information related to fisheries and aquatic ecology using specialized computer applications; Development of/assistance with life cycle models evaluating the role of habitat quantity and quality on viability metrics of fish populations; Development/application of basic and advanced statistical approaches to evaluating environmental data; Analyze PIT tag and telemetry data to estimate key life-history metrics (e.g. juvenile survival, movement, pre-spawn mortality) using common mark-recapture models (e.g. CJS, multistate and open JS models). Manage databases, analyze archived data, and prepare reports and publications; Prepare grant proposals and implement research plans, contracts, and budgets; Clearly communicate – through writing, graphics, and speaking – technical information to audiences ranging from laymen to policymakers and scientists; Coordinate activities among other tribal/CRITFC staff and external agencies, including participation on technical and management committees; Participate on multi-disciplinary teams addressing various ecological problems; Share supervision of regular and temporary project employees; Assist CRITFC and tribal staff to resolve issues related to areas of expertise; Conduct occasional fieldwork to validate methodological approaches to data collection. Job Requirements/Qualifications  M.S. degree in fisheries, biology, aquatic ecology, or a closely related field with a strong quantitative emphasis, plus relevant on-the-job experience. A Ph.D. may substitute for some work experience; Demonstrable experience with life cycle modeling/life history models; Competency with basic and advanced statistical approaches to evaluating environmental data (e.g., general linear modeling, mixed-effects models, multivariate techniques, spatial statistics, time series models, Bayesian statistics, or other specialized analyses); Proficiency using computer programs necessary to perform the core responsibilities of the position. These include, but are not limited to: word processing, spreadsheets, databases, various statistical packages (e.g., R, ADMB, BUGS, JAGS, STAN), and GIS software; Field experience in monitoring habitat conditions for fisheries or wildlife (familiarity with Columbia River basin salmonid habitat preferred); Ability to supervise technical teams at all skill levels and communicate effectively with other CRITFC staff/tribal staff, consultants, federal/state staff, and landowners; Superior written and oral communication skills including a demonstrable publication record; Familiarity with tribal restoration plans and objectives; Valid driver’s license. Supervision  This position reports directly to the Watershed Ecology group leader but will occasionally assist with other projects in the Fishery Science department. The incumbent will provide shared supervision over biologists, seasonal technicians, or interns. Working Conditions  Most of the work is sedentary and performed in an office setting at the Columbia River Inter-Tribal Fish Commission in Portland, OR. Work assignments are multiple and performed, at times, under time constraints. Occasional evening and weekend work may be necessary to meet deadlines. Ability to travel and perform field work is required. Occasional field hitches to remote locations (e.g., La Grande, OR) lasting up to 8 days may be required. Employee may be exposed to inclement weather and uncomfortable work conditions during travel and fieldwork. CRITFC Motor Vehicle Policy  The driver operating a CRITFC vehicle or their own private vehicle for business related purposes shall be in possession of a valid, unrestricted current driver’s license, or other operator’s license, as required by law; and be eligible for coverage under CRITFC’s Motor Vehicle insurance policy. Upon request, CRITFC’s Motor Vehicle policy is available to applicants to review the required criteria."
78, Serverlogic,Big Data Engineer,"Beaverton, OR",,," We are looking for a Senior Engineer with cloud infrastructure experience to join our clientrsquos Big Data Platform Operations team. Our client provides cloud infrastructure to over 500 internal engineering and technical business users (Data Scientists and Analysts). This role will provide advanced operations support, contribute to automation and system improvements, and work directly with user teams to support platform adoption. Key Responsibilities Serve as a lead in supporting and operating key aspects of our infrastructure services. Improve our infrastructure by developing and improving automation tools. Provide advanced engineering support services to end users Gather technical details. Troubleshoot issues to resolve problems. Provide status updates to users and stakeholders. Track all details in the issue tracking system (JIRA). Provide issue review and triage problems for new servicesupport requests. Assist with training and onboarding for new end users. Use DevOps automation tools, including Jenkins, build jobs and Puppet manifests. Contribute to AgileKanban workflows and team process work. Other operations and support duties as needed. Required Job Qualifications Linux5 or more years in Unix systems engineering with experience in Red Hat Linux, Centos or Ubuntu. AWS Working experience and a good understanding of the AWS environment, including VPC, EC2, EBS, S3, RDS, SQS, Cloud Formation, Lambda, ElasticSearch. Advanced experience with IAM policy and role management. Infrastructure Operations3+ years supporting systems infrastructure operations, upgrades, deployments, and monitoring. Demonstrated successful experience in learning new technologies quickly. Programming2+ yearsrsquo experience programming with Python. Experience with Bash, REST APIs, and JSON encoding. HadoopExperience with Hadoop (Hive, Spark, Sqoop) andor AWS EMR. DevOpsExperience with DevOps automation - OrchestrationConfiguration Management andCICD ToolsAnsible, Chef, Puppet, Salt, Jenkins, Troposphere. Version ControlWorking experience with one or more version control platforms (Git, TFS). Nice to have Git experience. ETLJob scheduler experience like Oozie or Airflow. Nice to have Airflow experience. Data Science Tools (nice to have)R, RStudio, JupyterHub, Zeppelin, Tensorflow SecurityExperience implementing role-based security, including AD integration, security policies, and auditing in a LinuxHadoopAWS environment. MonitoringHands on experience with monitoring tools such as AWS CloudWatch, Nagios, New Relic. ELK StackExperience with setting up ELK stack for Analytics. NetworkingWorking knowledge of TCPIP networking, SMTP, HTTP, load-balancers (ELB, HAProxy) and high availability architecture. Ability to keep systems running at peak performance, upgrade operating system, patches, and version upgrades as required. Lead other admins and platform engineers through design and implementation decisions to achieve balance between strategic design and tactical needs. Research and deploy new tools and frameworks to build a sustainable big data platform. AgileScrumKanban experience. Demonstrated communication and interpersonal skills. Proven track record of success in fast-moving organizations with complex technology applications. Collaborate with Project Managers, Product Managers, QA and Engineering teams to deliver results. Educational qualifications MSBS in Computer Science or related field."
79, Swift Agency,Data Science Director,"Portland, OR",,"106,000"," Swift is seeking an Director of Data Science to join our growing team in Portland, Oregon. Here you will find a dynamic environment working with opportunities to influence the evolution of digital and social analytics for some of the worlds most beloved brands. Our Data and Marketing Sciences teams work closely with our Strategic Planning, Creative, and Account Management teams to deliver exceptional, results-driven work.  Who you are:  You are intellectually curious and always up for a good challenge. You are a natural at developing internal talent and nurturing lasting client relationships. You get a rush from solving problems and working with numbers and ideas comes easily to you. Always keenly observant and can't help but try to understand what makes the world click. You are a leader, a hacker and maker, driven to create. You are someone who challenges what's possible.  What you'll do:  As a Director, you will be a driving force in the blending of art and science to bring insights to life through storytelling. Your audience includes internal creative and planning teams, as well as our clients. You will also serve a pivotal role in building, evangelizing and selling the our data science offering to current and future clients.   On a daily basis, you'll be leading your team to uncover hidden consumer needs, identify emerging trends, surface meaningful insights, and bring to life consumer experiences and marketing initiatives which take advantage of these insights for our clients.  Owns the relationship with respect to data science for a 3-4 clients. Approve scope, methodology, budget, and team assignments (ensuring alignment to client objectives); manage overall project profitability; and ensure delivery of exceptional work. Own Set and guide long-term strategic account development plans for clients plan and participate in agency new business pitches. Guide your team in building data driven narratives from scratch, setting the editorial voice and philosophy, overseeing story assignments, approving narrative direction, and final client deliverables. Apply open source tools to capture, process, analyze, and visualize proprietary and public data in new ways to tell compelling and meaningful stories Be a core member of our Data Science team, working with Creative and Strategic Planning to turn deep consumer insights into amazing consumer experiences Work with the leadership of our Data Science team to evaluate new tools and processes, developing new intellectual property for the agency, outline procedures for applying or implementation of best practices and case studies Manage 1-2 Associate Directors and up to 8 Data Scientists / Marketing Scientists What you'll need: 10+ years of relevant experience; we love hearing about the projects you've hacked at work and in your spare time with special preference to amazing Github profiles Advanced knowledge and working experience in advertising and research technology, platforms or data is critical Working experience with open source data and data management and analysis platforms is required Advanced experience in more than than one of the following: Programming (Python, SQL) Data Visualization (Tableau, D3.Js) Relational or NoSQL Databases (MongoDB, BigQuery) Infrastructure as a Service (Google Cloud Storage) Sensors and Hardware (Raspberry Pi, Android Things) Machine Learning (Tensorflow, scikit-learn, Google Cloud ML APIs) Experience managing high-performing teams with aggressive timeline Strong written and verbal communication skills with the ability to be flexible and thrive in a rapidly-evolving environment Master's degree from a four-year college or commensurate work experience required PHD is strongly preferred Who we are:  Swift is a strategic creative agency that lives and breathes digital, leading brands forward with a groundbreaking combination of insights and ideas. We are hyper-focused on delivering campaigns that get results. Our client roster includes Starbucks, Google, Paypal, Carter's, Umpqua, Nestlé, adidas, and YouTube.  What we offer:  Swift offers competitive salaries and comprehensive benefits, including no-cost medical insurance for employees, generous paid parental leave, and 401(k) with immediate matching and vesting. We put family first and ease the transition back to work for primary caregivers with a 32-hour work week at full pay for 12 weeks (and two comfy nursing rooms). Located in NW Portland near a Portland Streetcar stop, our airy, light-filled office inhabits a repurposed industrial building and has a variety of workspaces for collaborating and working independently. We encourage all employees to shape culture with their own ideas and provide professional development and management training. Employees receive paid holidays, volunteer time, vacation and wellness leave. We welcome dogs and emphasize community. You can find us every Friday, coming together for lunch and inspiration.   We aim to build an inclusive culture where differences are used to inform better creative, strategic and business decisions. We actively seek diversity of beliefs, backgrounds, education and ways of thinking. We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
80, EY,Project Financial Reporting and Data Analyst,"Portland, OR",,"75,000"," Project Financial Reporting and Data Analyst   Core Business Services   Requisition # POR000SW   Post Date 2 days ago  *Description**  Join our Core Business Services (CBS) team and you will help support the important business enablement functions that keep our organization running strong. As a CBS professional, you will work across teams to provide the knowledge, resources and tools that help EY deliver exceptional quality service to our clients, win in the marketplace and support EY?s growth and profitability. Major teams within CBS include Finance, Information Technology, Human Resources, Enterprise Support Services, Brand Marketing and Communications, Business Development, Knowledge and Risk Management.   With so many offerings, you have the opportunity to develop your career through a broad scope of engagements, mentoring and formal learning. That?s how we develop outstanding leaders who team to deliver on our promises to all of our stakeholders, and in so doing, play a critical role in building a better working world for our people, for our clients and for our communities. Sound interesting? Well this is just the beginning. Because whenever you join, however long you stay, the exceptional EY experience lasts a lifetime.  . *Job Summary** *Project Financial Reporting and Data Analyst.**  As an Account Support Associate, you'll carry out a wide range of administration and coordination for engagement and/or account teams, acting as a chargeable member. Utilizing the processes and tools of the engagement team and service line, you'll reduce client server time on non-technical engagements and bring down the overall engagement cost. You'll interface regularly with engagement team members and external client personnel, particularly on large, complex multi-location engagements/accounts. Your specific assigned activities may vary, based on the needs of the engagement, account or service line. **For this specific role in Portland, there are heavy responsibilities around the account team?s project financial reporting, project burn rate / run rate calculations, contract management, and data analysis.** In this role, you'll be expected to make independent decisions, exercising sound judgment and discretion. You may have responsibility for reviewing or coordinating the work of others  *Key Responsibilities:**  + Participate in engagement/account team meetings, review items discussed, and act/plan accordingly   + Manage stakeholder expectations, project plans and communications, and provide updates as needed   + Proactively identify project risks, and opportunities for improving processes   + May help coordinate multi-location engagements, using effective communications   + Develop strong working relationships with external client personnel, and meet client expectations   + Act as a central point of contact for the assigned engagement(s)   + Gain in-depth knowledge about the services the engagement provides, and utilize that knowledge to recommend ways to improve the service offered   + Collaborate with the account team and resource management, to schedule staff and resolve issues   + Coordinate risk management processes, such as engagement letters, client continuance, independence, family tree, pre-approval and other regulatory requirements   + Assist the engagement team with engagement economics matters (e.g., hours/budgets/estimates to complete, fees, billings, Work in Process spreadsheets).Work with the Financial Management Associate on these issues   + Reporting on both qualitative and quantitative metrics, compiling detailed project level and overall portfolio level reporting and analytics for presentation and review to senior leadership.   + Submit press releases, Securities & Exchange Commission (SEC) filings and instructions on time  *To qualify, candidates must have** :  + Bachelor's degree or equivalent work experience   + A minimum of 5 years in a related field requiring strong analytical skills   + Prior project management experience   + **Strong experience and expertise in SharePoint, Excel, with Power Pivot and Power Query, and Power BI.**   + **Understanding of financial calculations and metrics such as forecasted revenue, project burn rates, and accounts receivables** .   + Strong organizational, mathematical, customer service skills and good attention to detail   + English language skills - excellent written and communication   + Excellent listening, influencing, interpersonal and presentation skills   + Ability to address all relevant information/data and develop practical approaches   + Adept at resolving complex problems   + Confident at working effectively within an account team and with client personnel, and in a virtual or distributed team environment   + Ability to effectively manage concurrent projects, and prioritize multiple tasks, including multi-location coordination   + Competent at meeting tight deadlines, performing high-quality work and diligent follow up   + Adept at summarizing and concluding activities, applying appropriate documentation standards   + Adept at protecting confidential and proprietary information   + Proficient in Microsoft Word and advance functions in Excel   Ernst & Young LLP, an equal employment opportunity employer (Females/Minorities/Protected Veterans/Disabled), values the diversity of our workforce and the knowledge of our people."
81, Nike Inc.,"Lead Data Engineer Demand Sensing, Enterprise Data & Analytics","Beaverton, OR",,"101,000","• Lead Data Engineer Demand Sensing, Enterprise Data & Analytics  At Nike, we serve athletes. Fueled by the insights of the world's best, we design and create products to elevate human potential on a global scale. And it's on us, the Global Operations Team (GOT), to help bring this mission to life.   We are a diverse lineup of thousands spread across the globe. Together, we are building a smarter, more connected and automated value chain. And we are looking for world-class talent like you to contribute to this journey.   Nike is looking for a seasoned engineer who can lead and grow teams of data engineers and developers to support machine learning engineers and data scientists to deliver scalable machine learning and advanced analytics solutions to customers across our business. You will work on a variety of complex business problems such as forecasting, personalization, and inventory optimization. You will productionalize and scale solutions in the cloud as APIs, stream processing, or massive batch processing. You will leverage big data, parallel processing technologies, advanced analytics, machine learning, and deep learning techniques to quantitatively plan product demand, allocate resources, and target the right customers with the best products. You will foster partnerships with best of breed open source communities, commercial vendors, and universities. Above all, your work will accelerate Nike's core mission of serving Athletes*.   What youll do  Design and build reusable components, frameworks and libraries at scale to support analytics products Design and implement product features in collaboration with business and Technology stakeholders Identify and solve issues concerning data management to improve data quality Clean, prepare and optimize data for ingestion and consumption Collaborate on the implementation of new data management projects and re-structure of the current data architecture Implement automated workflows and routines using workflow scheduling tools Build continuous integration, test-driven development and production deployment frameworks Collaboratively review design, code, test plans and dataset implementation performed by other data engineers in support of maintaining data engineering standards Analyze and profile data for the purpose of designing scalable solutions Troubleshoot data issues and perform root cause analysis to proactively resolve product and operational issues Qualifications Strong programming experience,  Scala and python preferred  Experience working with Big Data  streaming services such as Kinesis, Kafka, etc.  Experience working with NoSQL data  stores such as HBase, DynamoDB, etc.  Experience handling hundreds of  terabytes or petabytes of data  Experience building domain-driven  Microservices  Experience provisioning RESTful  APIs to enable real-time data consumption  Experience in Java Experience working with Hadoop and  Big Data processing frameworks (Spark, Hive, Nifi, Spark-Streaming, Flink,   etc.)  Experience building cloud agonistic  solution, good knowledge of AWS, Microsoft Azure and other cloud solution.  Demonstrated experience developing  distributed systems at scale.  Experience with SQL, Data Modeling  and SQL Analytical functions  Experience participating in key  business, architectural and technical decisions  Experience designing, estimating and executing  for complex software projects   NIKE, Inc. is a growth company that looks for team members to grow with it. Nike offers a generous total rewards package, casual work environment, a diverse and inclusive culture, and an electric atmosphere for professional development. No matter the location, or the role, every Nike employee shares one galvanizing mission: To bring inspiration and innovation to every athlete* in the world.   NIKE, Inc. is committed to employing a diverse workforce. Qualified applicants will receive consideration without regard to race, color, religion, sex, national origin, age, sexual orientation, gender identity, gender expression, veteran status, or disability.   Job ID:00408361"
82, Kforce,Senior Data Analyst,"Beaverton, OR",,,"RESPONSIBILITIES: Kforce has a client in search of a Senior Data Analyst in Beaverton, Oregon (OR).   Summary:   As a Senior Data Analyst for Global Marketplace Analytics, you will be a key contributor to the building and promoting of multiple platforms that provide actionable insights and support critical business and investment decisions. You will work side by side with our data scientists and engineers, and in close partnership with other business intelligence and data product teams.   The role is perfect for a data evangelist who is self-motivated and unconventionally curious, especially about how data can be used to inform consumer demand. You enjoy finding relationships between disparate data sets and clarity in a muddied data environment. You are highly proficient in SQL, competent in a variety of scripting languages, well-versed in automation techniques and at home in a cloud based big data environment. You have a healthy degree of skepticism and the ability to speak data truth to power. You also know how to rise above the numbers and explain the essential insights to business users, and you instinctively minimize complexity to focus on results. While you rely on data to prove your point, you love to think outside the box and solve problems creatively. You thrive in an entrepreneurial environment, and you are excited by the challenge of building something from the ground up. You ask questions, are continually learning as well as finding opportunities to share knowledge with others. REQUIREMENTS:  Bachelor's degree in Computer Science, Information Systems, Stats, Business, or other relevant subject area  Master's degree preferred  Minimum 5-7 years of relevant professional experience with an emphasis on building data products  Experience in data wrangling and strong SQL skills required (Snowflake, Oracle, Teradata)  Proven ability to sift through data, perform analysis, identify critical information, and develop solution options is essential  Statistical knowledge and experience a plus  Commitment to and hands-on experience in performing technical code reviews and data issue triage  Working knowledge of Scrum and agile principles  Experience with Git and Amazon Web Services strongly preferred  Demonstrated ability to think critically and seamlessly collaborate with data science and engineering partners  Strong project management capabilities to manage multiple project streams and complexity; propensity for thinking through projects in a process-oriented way  Strong presentation skills, and excellent written and verbal communication skills  Familiarity with Tableau, as well as data analysis/visualization packages in R or Python is a plus  Kforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status."
83, Providence Health & Services,Principal Data Engineer - Temporary,"Portland, OR",,"164,000"," Description:  Providence St. Joseph Health is calling a Principal Data Engineer to one of our following locations: Renton, WA (preferred), Portland, OR, or Beaverton, OR.  We are seeking a Principal Data Engineer to design and build modern data-centric software applications to support clinical and operational processes across all parts of the health system. These applications leverage cloud computing, big data, mobile, data science, and modern software development methodologies and frameworks. Data Engineers build data pipelines, enrichment processes, provisioning layers, APIs and user interfaces to meet the requirements of key initiatives. The Principal Data Engineer will take point on development of best practices and standards across the engineering team and participate in research and development of new technologies. A Principal Data Engineer should be able to and emphasize mentoring less experienced Data Engineers and training the team, as needed, to develop a robust skillset among the entire team. Strongly encourages and places a priority on collaboration with meticulous source control and documentation. An emphasis on simple solutions to complex problems through the use of modern and emerging methods and tools is critical. This position will works closely with the Product, Platform, and Architecture teams to deliver on joint efforts.   In this position you will have the following responsibilities: Design, build and deliver quantitative applications that improve operations and generate value Participate in DevOps, Agile, and continuous integration frameworks Stay abreast of emerging technologies, open source projects, and best practices in the field Data warehousing, big data, enterprise search, business intelligence, analytics, modern and mobile applications Build processes that are fault-tolerant, self-healing, reliable, resilient and secure Work effectively and in real-time with other developers, product managers, and customers to deliver on collective goals Actively participate in code reviews, support the overall code base, and support the establishment of standard processes and frameworks. Take a lead role in the development of standard practices and enforce following standard processes.  Qualifications:  Required qualifications for this position include: Bachelors Degree in computer science, engineering, mathematics, MIS or similar field. 10 years in technology roles. Must have experience with the following technologies: C# ASP.net T-SQL HTML/CSS JavaScript Nodejs Demonstrated analytical skills Demonstrated problem solving skills Promotes information sharing Ability to work within tight timeframes and meet strict deadlines. Possesses strong technical Aptitude.  Preferred qualifications for this position include: Masters Degree. Cloud computing, Linux, Hadoop, MapReduce, Spark, Hbase, Kudu and NoSQL platforms in general; Apache Solr and Lucene Java, Scala, C#, Python, shell scripting and/or similar languages Relational database platforms, database design, and SQL APIs, JSON, REST and other relevant W3C open standards Modern application development frameworks Familiarity with commercial or open source ETL tools  About the department you will serve.  Providence Strategic and Management Services provides a variety of functional and system support services for all eight regions of Providence Health & Services from Alaska to California. We are focused on supporting our Mission by delivering a robust foundation of services and sharing of specialized expertise.   We offer a full comprehensive range of benefits - see our website for details  Our Mission  As expressions of Gods healing love, witnessed through the ministry of Jesus, we are steadfast in serving all, especially those who are poor and vulnerable.   About Us  Providence Health & Services is a not-for-profit Catholic network of hospitals, care centers, health plans, physicians, clinics, home health care and services guided by a Mission of caring the Sisters of Providence began over 160 years ago. Providence is proud to be an Equal Opportunity Employer. Providence does not discriminate on the basis of race, color, gender, disability, veteran, military status, religion, age, creed, national origin, sexual identity or expression, sexual orientation, marital status, genetic information, or any other basis prohibited by local, state, or federal law.   Schedule:  Full-time   Shift:  Day   Job Category:  Information Technology"
84, Aptuity Solutions,Lead Engineer Data & Analytics,"Portland, OR",,," We have an urgent opening for Lead Engineer Data & Analytics Location - Portland, Oregon Permanent Qualifications: Experience building cloud scalable, real time and high-performance data lake solutions Strong experience with Python, Spark, Shell & SQL Experience with AWS components and services, particularly IAM, ECS/EKS, EMR, S3, and Lambda/Serverless Experience writing automation to deploy R (RStudio), Spark ML, and/or Python apps (pandas, numpy, scipy, keras, etc.) Experience with Container Orchestration (Kubernetes, Docker,etc) Experience with software engineering best practices including unit testing, continuous integration (Jenkins, CircleCI, etc), and source control (GitHub, Bitbucket,etc) Experience with workflow scheduling tools like Airflow Strong understanding of statistical modeling and machine learning techniques Experience building APIs and micro service architecture Has a strong problem solving and analytical mindset Proven successful track-record of learning new tools and technologies Able to influence and communicate effectively, both verbally and written, with team members Nice to have: Proficiency with data visualization tools and libraries like Tableau, Shiny, ggplot2 Retail Industry Experience Experience with Snowflake Client is looking for a seasoned engineer who can lead and grow teams of data engineers and developers to support machine learning engineers and data scientists to deliver scalable machine learning and advanced analytics solutions to customers across our business. You will work on a variety of complex business problems such as forecasting, personalization, and inventory optimization. You will productionalize and scale solutions in the cloud as APIs, stream processing, or massive batch processing. You will leverage big data, parallel processing technologies, advanced analytics, machine learning, and deep learning techniques to quantitatively plan product demand, allocate resources, and target the right customers with the best products. You will foster partnerships with best of breed open source communities, commercial vendors, and universities. Above all, your work will accelerate client's core mission of serving Athletes*. What you ll do Design and build reusable components, frameworks and libraries at scale to support analytics products Design and implement product features in collaboration with business and Technology stakeholders Identify and solve issues concerning data management to improve data quality Clean, prepare and optimize data for ingestion and consumption Collaborate on the implementation of new data management projects and re-structure of the current data architecture Implement automated workflows and routines using workflow scheduling tools Build continuous integration, test-driven development and production deployment frameworks Collaboratively review design, code, test plans and dataset implementation performed by other data engineers in support of maintaining data engineering standards Analyze and profile data for the purpose of designing scalable solutions Troubleshoot data issues and perform root cause analysis to proactively resolve product and operational issues - provided by Dice   Python, Spark, Shell & SQL "
85, Aroghia,Sr. Data Science Engineer,"Beaverton, OR",,," The Aroghia Group is an information technology firm providing cutting-edge IT and data analytics solutions, consulting, training, and staff augmentation for clients ranging from startups to Fortune 500 companies across the US. For nearly two decades we have been committed to helping our clients achieve their goals through innovation, collaboration, and deep expertise. Please visit our website to see all of our open positions. httparoghia.comcareers Our premier retail sportswear client is seeking a Sr. Data Science Engineer! Required bull 7+ years of experience spread across Java, R, Python, that includes extensive experience in Big Data Technologies bull 5+ years of experience architecting and building scalable Reporting and Advance Analytics solutions using Big Data technologies bull Proven track record lifting and shifting predictive, deep and machine learning application at scale on big data platform bull Experience building data science application in SPARK, Hadoop, EMR ( Qubole or Data Bricks or others) bull Experience in building application in microservice architecture, Restful APIs bull Fast-learner, Self-driven and working with fast-spaced team. bull Strong communication and collaboration skills bull Ability to work team of expert Data scientists and build Feature Engineering bull Experience with legacy data platforms such as Oracle, Teradata, or others ndash Strong plus. bull Experience with performancescalability tuning, algorithms and computational complexity bull Masters in Computer Science preferred To Apply Aroghia Group provides top market compensation, H1B transfers, Green Card processing, and a great company culture. Please provide your resume, availability, requested pay rate, LinkedIn profile address, and phone number, and Skypevideo call information when applying. Aroghia Group has established a solid reputation in the marketplace by providing our employees with outstanding opportunities for personal and professional growth. Some additional benefits include (but are not limited to) We are a preferred IT vendor for top-notch companies in a wide range of industries across the U.S. Aroghia offers various compensation structures (hourly, salary) based on qualifications and market demand. We provide continuous training and development to ensure our team remains at the forefront of technological advancements. Open Positions httparoghia.comcareers"
86, VanderHouwen,Senior Data Engineer,"Beaverton, OR",,,"Job ID: 36852 ***Not able to use 3rd Party Agencies***   Senior Data Engineer  Our client is seeking a Senior Data Engineer to join their dynamic team in Beaverton, OR. This Senior Data Engineer is going to help the Digital Dash team pull data from various sources, store it somewhere we can access it, write/schedule jobs to get the data to flow in a time-consistent manner, manipulate the data as needed to allow for analysis, and build very basic front ends to input/view/edit some of the data. In this role, you’ll have the opportunity to have a global impact on a Greenfield project, helping our client’s Digital team transform into a data-driven organization.  Senior Data Engineer Responsibilities:  Provide engineering on modern, cloud-based data processing technology stack.   Build data pipelines, data validation frameworks, job schedules with emphasis on automation and scale.   Contribute to overall architecture, framework, and design patterns to store and process high data volumes.   Design and implement features in collaboration with product owners, reporting analysts / data analysts, and business partners within an Agile / Scrum methodology.   Proactively support product health by building solutions that are automated, scalable, and sustainable – be relentlessly focused on minimizing defects and technical debt.  Senior Data Engineer Qualifications:  Masters’ or Bachelors' degree in Computer Science or a related field.   5+ years of experience in large-scale software development with emphasis on data analytics and high-volume data processing.   3+ years of experience in data engineering development.   2+ years of experience implementing scalable data architectures.   2+ years of experience with AWS and related services (e.g., EC2, S3, DynamoDB, ElasticSearch, SQS, SNS, Lambda, Airflow, Snowflake).   Demonstrable team leadership in moving features and projects forward through ambiguity to success.   Experience in data-centric programming languages (e.g., Python, GO, Ruby, Javascript, Scala).   Experience with participating in projects in a highly collaborative, multi-discipline team environment.  Benefits  Benefits are available to eligible VanderHouwen contractors and include coverage for medical, dental, vision, life insurance, short and long term disability, and matching 401k.  About VanderHouwen  VanderHouwen is an award-winning, Women-Owned, WBENC certified professional staffing firm. Founded in 1987, VanderHouwen has been successfully placing experienced professionals throughout the Pacific Northwest and nationwide. Our recruitment teams are highly specialized in either Technology and IT, Engineering, or Accounting and Finance career markets. Our recruiters value building meaningful, professional relationships with each candidate as well as developing honed knowledge of companies' staffing needs and workplaces. Partner with us to land your next exciting career.   VanderHouwen is an Equal Opportunity Employer and participates in E-Verify. VanderHouwen does not discriminate on the basis of race, color, religion, sex, national origin, age, disability, or any other characteristic protected by applicable local, state or federal civil rights laws.   #vhdi"
